Codigo_Plan_Precios;NOMBRE_TARIFA;NUMERO DE SERVICIOS
PPIB7;Tarifa Yuser;935.613
PPFCL;Vodafone Facil;535.496
PPIB8;Tarifa Superyuser;220.626
PPIB9;Tarifa Megayuser;196.631
PPIB4;Tarifa Yuser 800;128.862
PPXS8;XS8;118.469
PPTIN;Vodafone Internacional;92.055
PPVIS;Internacional Smartphone;70.060
PPIB1;Tarifa smart8;46.677
PPREX;Tarjeta Vitamina Sin Beneficio;38.693
PPREU;Tarjeta Vitamina 10E gratis;21.117
PPFCS;Vodafone Facil Smartphone;18.532
PPIB5;Tarifa Superyuser 1,2;13.714
PPIB6;Tarifa Megayuser 1,6;7.844
PPRE2;Formula A. Tiempo Libre;4.373
PPIB2;Tarifa smart12;3.666
PPIB3;Tarifa smart16;3.128
PPVSP;Internacional Smartphone 1GB;2.930
PPRET;Vod Nueva Tiempo Libre;50
PPREY;Vitamina Clásica al Segundo;28
PPVE2;Internacional Gatuito;23
PPRE5;?;7
PPRES;?;7
PPVE3;Llamadas Gatuitas;6
PPVE1;Internet y Sms Gatuito;6
PPJAT;A mi aire 90x1 a todos;5
PPJMI;A mi aire Fines de semana;1
PPJ24;A mi aire 90x1 24h;1
