PlanPrecios;AddOn;limite;establecimiento;ppm;Limite_SMS;limite_Data_MB;Cuota;tarifa_MB;coste_SMS
TPYU0;TURBOYUSER;?;0.300;0.000;?;2,048;16.0000;?;0.1200
SMCLA;SMART M;12,000;0.200;0.250;?;2,048;29.0000;?;0.1200
TREDL;RED L;?;0.000;0.000;?;20,480;49.0000;?;0.0000
PPIB6;Tarifa Megayuser 1,6;6,000;0.200;0.250;?;3,584;20.0000;0.030;?
V15CL;BASE GB;?;0.300;0.000;?;1,536;17.0000;?;0.1200
PCV12;CONVERGENTE ONE M;?;0.000;0.000;?;10,240;39.0000;?;?
JADE;90x1_a_todos;?;0.182;0.362;?;?;?;?;?
PPIB3;Smart_16;6,000;0.182;0.242;?;3,584;20.0000;0.030;?
TYU15;SUPERYUSER NUEVA;6,000;0.300;0.250;?;3,584;16.0000;?;0.1200
RCTAR;Share Everything (2ª Line;?;0.000;0.000;?;8,192;20.0000;?;0.0000
PCV02;CONVERGENTE ONE M;?;0.000;0.000;?;10,240;39.0000;?;?
B3TAR;SMART M;12,000;0.300;0.250;?;6,144;29.0000;?;0.1200
TARSM;SMART M;12,000;0.300;0.250;?;6,144;29.0000;?;0.1200
TARXS;Smart XS;6,000;0.300;0.250;?;3,072;24.0000;?;0.1200
2L4RE;RED L (2ª Linea);?;0.000;0.000;?;20,480;42.0000;?;0.0000
R2CLA;RED M;?;0.000;0.000;?;5,120;49.0000;?;?
RSCLA_C;RED M C;?;0.000;0.000;?;2,560;36.0000;?;?
PCV10;CONVERGENTE ONE MINI S;?;0.300;0.000;?;2,560;17.0000;?;0.1200
RXLTA;RED XL;?;0.000;0.000;?;23,552;57.0000;?;0.0000
PPFCL;Vodafone Facil;?;0.182;0.060;?;?;?;?;0.1815
RSTAR_C;RED M C;?;0.000;0.000;?;2,560;24.0000;?;?
RBYU3;SIMULACION NUEVA YU 3;3,600;0.250;0.250;0;5,120;22.0000;0.030;0.0000
RBYU2;SIMULACION NUEVA YU 2;1,800;0.250;0.250;0;3,584;17.0000;0.030;0.0000
PPIB4;Tarifa Yuser 800;1,200;0.200;0.250;20;1,536;10.0000;0.030;0.1815
UNSIL;RED XL;?;0.000;0.000;?;9,216;70.0000;?;0.0000
B4CLA;SMART L;18,000;0.200;0.250;?;2,560;34.0000;?;0.1200
PPIB2;Smart_12;3,600;0.182;0.242;60;2,048;15.0000;0.030;0.1815
SSCLA;SMART S;12,000;0.200;0.250;?;1,843;26.0000;?;0.1200
RLCLA;RED L;?;0.000;0.000;?;6,144;52.0000;?;0.0000
VEGA;Free_Inter_top1;?;0.182;0.242;?;?;?;?;?
V6TAR;MINI VOZ;?;0.300;0.000;?;100;10.0000;?;0.1200
BMCLA;BASE S;?;0.300;0.000;?;1,536;17.5000;?;0.1200
TARMS;MINI S;?;0.300;0.000;?;2,560;17.0000;?;0.1200
PPIB8;Nueva SUPERYUSER;3,000;0.200;0.250;0;2,048;15.0000;0.030;0.1200
2LMXS;+ LINEAS MINI XS;?;0.300;0.000;?;500;8.0000;?;0.1200
B4TAR;SMART L;18,000;0.300;0.250;?;8,192;34.0000;?;0.1200
RXLTA_C;RED XL C;?;0.000;0.000;?;6,144;44.0000;?;0.0000
RBYU1;SIMULACION NUEVA YU 1;900;0.250;0.250;0;2,048;12.0000;0.030;0.0000
PCV14;CONVERGENTE ONE XL;?;0.000;0.000;?;35,840;69.0000;?;?
TSMAS;SMART S;12,000;0.300;0.250;?;6,144;29.0000;?;0.1200
V15TA;BASE GB;?;0.300;0.000;?;2,560;17.0000;?;0.1200
SYUTA;SUPERYUSER;3,600;0.300;0.250;60;3,584;20.0000;?;0.1200
2LINS;SMART S (2ª Linea);12,000;0.300;0.250;?;6,144;20.0000;?;0.1200
B2CLA;SMART S;12,000;0.200;0.250;?;1,843;25.0000;?;0.1200
PCV13;CONVERGENTE ONE L;?;0.000;0.000;?;20,480;49.0000;?;?
